Geo Code,Geo Name,Line Number
"01","Canada",2
"59","British Columbia / Colombie-Britannique",2249
"5901","East Kootenay",4496
"5901003","Elkford",6743
"59010030237","59010237",8990
"59010030238","59010238",11237
"59010030239","59010239",13484
"59010030240","59010240",15731
"59010030241","59010241",17978
"59010030242","59010242",20225
"59010030249","59010249",22472
"5901006","Sparwood",24719
"59010060216","59010216",26966
"59010060228","59010228",29213
"59010060229","59010229",31460
"59010060230","59010230",33707
"59010060231","59010231",35954
"59010060232","59010232",38201
"59010060233","59010233",40448
"59010060234","59010234",42695
"59010060236","59010236",44942
"59010060247","59010247",47189
"5901012","Fernie",49436
"59010120217","59010217",51683
"59010120218","59010218",53930
"59010120219","59010219",56177
"59010120220","59010220",58424
"59010120221","59010221",60671
"59010120222","59010222",62918
"59010120223","59010223",65165
"59010120226","59010226",67412
"59010120255","59010255",69659
"5901017","East Kootenay A",71906
"59010170224","59010224",74153
"59010170227","59010227",76400
"59010170248","59010248",78647
"59010170254","59010254",80894
"5901019","East Kootenay B",83141
"59010190210","59010210",85388
"59010190211","59010211",87635
"59010190212","59010212",89882
"59010190213","59010213",92129
"5901022","Cranbrook",94376
"59010220147","59010147",96623
"59010220166","59010166",98870
"59010220167","59010167",101117
"59010220168","59010168",103364
"59010220169","59010169",105611
"59010220170","59010170",107858
"59010220171","59010171",110105
"59010220172","59010172",112352
"59010220173","59010173",114599
"59010220174","59010174",116846
"59010220175","59010175",119093
"59010220176","59010176",121340
"59010220177","59010177",123587
"59010220178","59010178",125834
"59010220179","59010179",128081
"59010220180","59010180",130328
"59010220181","59010181",132575
"59010220183","59010183",134822
"59010220184","59010184",137069
"59010220185","59010185",139316
"59010220186","59010186",141563
"59010220187","59010187",143810
"59010220188","59010188",146057
"59010220189","59010189",148304
"59010220190","59010190",150551
"59010220191","59010191",152798
"59010220192","59010192",155045
"59010220193","59010193",157292
"59010220194","59010194",159539
"59010220195","59010195",161786
"59010220196","59010196",164033
"59010220197","59010197",166280
"59010220198","59010198",168527
"59010220199","59010199",170774
"59010220200","59010200",173021
"59010220202","59010202",175268
"59010220207","59010207",177515
"59010220245","59010245",179762
"5901028","Kimberley",182009
"59010280150","59010150",184256
"59010280151","59010151",186503
"59010280152","59010152",188750
"59010280153","59010153",190997
"59010280154","59010154",193244
"59010280155","59010155",195491
"59010280156","59010156",197738
"59010280157","59010157",199985
"59010280158","59010158",202232
"59010280159","59010159",204479
"59010280160","59010160",206726
"59010280161","59010161",208973
"59010280162","59010162",211220
"5901035","East Kootenay C",213467
"59010350143","59010143",215714
"59010350145","59010145",217961
"59010350164","59010164",220208
"59010350165","59010165",222455
"59010350182","59010182",224702
"59010350204","59010204",226949
"59010350205","59010205",229196
"59010350206","59010206",231443
"59010350208","59010208",233690
"59010350209","59010209",235937
"59010350244","59010244",238184
"5901037","East Kootenay E",240431
"59010370141","59010141",242678
"59010370142","59010142",244925
"59010370149","59010149",247172
"59010370163","59010163",249419
"5901039","Invermere",251666
"59010390128","59010128",253913
"59010390129","59010129",256160
"59010390130","59010130",258407
"59010390131","59010131",260654
"59010390132","59010132",262901
"59010390133","59010133",265148
"5901040","Radium Hot Springs",267395
"59010400126","59010126",269642
"5901043","Canal Flats",271889
"59010430139","59010139",274136
"5901046","East Kootenay F",276383
"59010460134","59010134",278630
"59010460135","59010135",280877
"59010460137","59010137",283124
"59010460138","59010138",285371
"59010460140","59010140",287618
"5901048","East Kootenay G",289865
"59010480123","59010123",292112
"59010480124","59010124",294359
"59010480125","59010125",296606
"5901801","Tobacco Plains 2",298853
"59018010214","59010214",301100
"5901802","Isidore's Ranch 4",303347
"59018020144","59010144",305594
"5901803","Kootenay 1",307841
"59018030146","59010146",310088
"5901804","Columbia Lake 3",312335
"59018040136","59010136",314582
"5901805","Cassimayooks (Mayook) 5",316829
"59018050203","59010203",319076
"5901806","Shuswap",321323
"59018060127","59010127",323570
"5903","Central Kootenay",325817
"5903004","Creston",328064
"59030040209","59030209",330311
"59030040210","59030210",332558
"59030040211","59030211",334805
"59030040212","59030212",337052
"59030040213","59030213",339299
"59030040214","59030214",341546
"59030040215","59030215",343793
"59030040216","59030216",346040
"59030040217","59030217",348287
"59030040218","59030218",350534
"5903010","Central Kootenay A",352781
"59030100226","59030226",355028
"59030100227","59030227",357275
"59030100228","59030228",359522
"59030100237","59030237",361769
"5903011","Salmo",364016
"59030110200","59030200",366263
"59030110201","59030201",368510
"5903013","Central Kootenay B",370757
"59030130207","59030207",373004
"59030130208","59030208",375251
"59030130220","59030220",377498
"59030130221","59030221",379745
"59030130222","59030222",381992
"59030130223","59030223",384239
"59030130224","59030224",386486
"59030130225","59030225",388733
"5903015","Nelson",390980
"59030150144","59030144",393227
"59030150145","59030145",395474
"59030150146","59030146",397721
"59030150147","59030147",399968
"59030150148","59030148",402215
"59030150149","59030149",404462
"59030150150","59030150",406709
"59030150151","59030151",408956
"59030150152","59030152",411203
"59030150153","59030153",413450
"59030150154","59030154",415697
"59030150155","59030155",417944
"59030150156","59030156",420191
"59030150157","59030157",422438
"59030150158","59030158",424685
"59030150160","59030160",426932
"59030150161","59030161",429179
"59030150162","59030162",431426
"59030150164","59030164",433673
"59030150168","59030168",435920
"5903017","Central Kootenay C",438167
"59030170204","59030204",440414
"59030170205","59030205",442661
"59030170219","59030219",444908
"5903019","Slocan",447155
"59030190138","59030138",449402
"5903023","Kaslo",451649
"59030230239","59030239",453896
"59030230246","59030246",456143
"5903027","Silverton",458390
"59030270136","59030136",460637
